#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,i3lock,"screen lock"
,xautolock,"locks the screen automatticaly"
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xbackliht,"to contril the monitor brightness"
,ttf-dejavu,"fonts for the system"
,tree,"lists directory contents like trees. Used by vifm."
,vifm,"is an extensive terminal file manager that everyone likes."
,mlocate, "the locate and updatedb functions"
,rxvt-unicode,"the terminal emulator"
,feh,"the backgroud image setter"
,ttf-droid,"the fonts! :)"
,pulseaudio,"enables sound"
,libinput,"to make touch pad be natural"
,chromium,"default browser"
,ntp,"the time network protocol"
,rofi,"the dmenu of my choice"
S,installYaourt,"installing my choice of AUR helper"
A,polybar,"the status bar"
A,laptop-mode-tools,"laptop utils"
A,ttf-material-design-icons,"icons for the polybar"
